'em	ah m #1
-knacks	n ae k s
-upmanship	ah p m ah n sh ih p
-ups	ah p s #1
-zagged	z ae g d
a	ah #1
abbreviate	ah b r iy v iy ey t
abdomen	ae b d ah m ah n
abides	ah b ay d z
ability	ah b ih l ih t iy
able	ey b l #1
ably	ey b l iy
abolish	ah b aa l ih sh
aborigine	ae b er ih jh ih n iy #1
aborigines	ae b er ih jh ih n iy z
about	ah b aw t
above	ah b ah v
abruptly	ah b r ah p t l iy
absences	ae b s ih n s ih z
absent	ae b s ih n t
absolute	ae b s ah l uw t
absolution	ae b s ah l uw sh ih n
absorbed	ah b s aa r b d
absorption	ah b s aa r p sh ih n
absurd	ah b s er d #1
absurdly	ah b s er d l iy
abyss	ah b ih s
academic	ae k ih d eh m ih k
accelerating	ae k s eh l er ey t ih ng
accelerometer	ae k s eh l er aa m ah t er #1
accelerometers	ae k s eh l er aa m ah t er z
accent	ae k s eh n t
accept	ae k s eh p t #1
acceptance	ae k s eh p t ih n s
accepted	ae k s eh p t ih d
access	ae k s eh s
accident	ae k s ih d ih n t
acclaim	ah k l ey m #1
acclaimed	ah k l ey m d
accommodate	ah k aa m ah d ey t
accomplish	ah k aa m p l ih sh #1
accomplished	ah k aa m p l ih sh t
accomplishments	ah k aa m p l ih sh m ah n t s
according	ah k aa r d ih ng #1
accordingly	ah k aa r d ih ng l iy
account	ah k aw n t #1
accounts	ah k aw n t s
accreditation	ah k r eh d ih t ey sh ih n
accuracy	ae k y er ah s iy
accurate	ae k y er ih t
accusations	ae k y uw z ey sh ih n z
accuse	ah k y uw z #1
accusingly	ah k y uw z ih ng l iy
ace	ey s
aches	ey k s
achieve	ah ch iy v #1
achieved	ah ch iy v d
acknowledge	ae k n aa l ih jh #1
acknowledged	ae k n aa l ih jh d
acquiescence	ae k w iy eh s ih n t s
acquire	ah k w ay er
acres	ey k er z
acropolis	ah k r aa p l ah s
across	ah k r aa s
act	ae k t #1
action	ae k sh ih n #1
actions	ae k sh ih n z
activated	ae k t ih v ey t ih d
activities	ae k t ih v ah t iy z
activity	ae k t ih v ah t iy #1
actor	ae k t er #1
actors	ae k t er z
acts	ae k t s
actual	ae k ch uw l #1
actually	ae k ch uw l iy
adage	ae d ih jh
adaptations	ae d ae p t ey sh ih n z
add	ae d #1
added	ae d ih d
addition	ah d ih sh ih n
additives	ae d ih t ih v z
address	ae d r eh s
addressed	ah d r eh s t
adequate	ae d ih k w ih t
adhesive	ae d hh iy s ih v
adjourned	ah jh er n d
adjustable	ah jh ah s t ah b l
adjustments	ah jh ah s t m ah n t s
administration	ah d m ih n ih s t r ey sh ih n
administrative	ah d m ih n ih s t r ey t ih v
admire	ah d m ay er
admitted	ah d m ih t ih d
admitting	ah d m ih t ih ng
adopted	ah d aa p t ih d
adult	ah d ah l t #1
adulterers	ah d ah l t er er z
adulthood	ah d ah l t hh uh d
adults	ah d ah l t s
advance	ae d v ae n s #1
advanced	ae d v ae n s t
advances	ae d v ae n s ih z
advantage	ae d v ae n t ih jh #1
advantages	ae d v ae n t ih jh ih z
adventure	ah d v eh n ch er #1
adventures	ah d v eh n ch er z
advertising	ae d v er t ay z ih ng
advice	ah d v ay s
advisable	ah d v ay z ah b l
advised	ah d v ay z d
advisement	ah d v ay z m ah n t
aerial	ae r iy l
affect	ah f eh k t
affectionate	ah f eh k sh ih n ih t
affirmative	ah f er m ah t ih v
afloat	ah f l ow t
afraid	ah f r ey d
after	ae f t er #1
afternoon	ae f t er n uw n
afterwards	ae f t er w er d z
again	ah g eh n #1
against	ah g eh n s t
age	ey jh #1
agency	ey jh ih n s iy
agenda	ah jh eh n d ah
agents	ey jh ih n t s
agglomeration	ah g l aa m er ey sh ih n
aggressive	ah g r eh s ih v
aglow	ah g l ow
ago	ah g ow
agony	ae g ih n iy
agree	ah g r iy #1
agreed	ah g r iy d
agricultural	ae g r ih k ah l ch er l
ahah	aa hh aa
ahead	ah hh eh d
aid	ey d #1
aided	ey d ih d
aids	ey d z
aim	ey m #1
aimed	ey m d
aimless	ey m l ah s
ain't	ey n t
air	ae r #1
airborne	ae r b aa r n
aircraft	ae r k r ae f t
airfields	ae r f iy l d z
airplanes	ae r p l ey n z
al	ae l #1
alarm	ah l aa r m
alcohol	ae l k ah hh aa l #1
alcoholic	ae l k ah hh aa l ih k #1
alcoholics	ae l k ah hh aa l ih k s
alcoves	ae l k ow v z
alert	ah l er t
alfalfa	ae l f ae l f ah
algae	ae l jh iy
algebraic	ae l jh ih b r ey ih k
alibi	ae l ih b ay
alice	ae l ih s #1
alice's	ae l ih s ih z
alien	ey l iy ah n
aligned	ah l ay n d
aligning	ah l ay n ih ng
alimony	ae l ah m ow n iy
alkaline	ae l k ah l ay n
all	aa l #1
all-purpose	aa l p er p ah s
allergies	ae l er jh iy z
alleviate	ah l iy v iy ey t
alligators	ae l ah g ey t er z
allot	ah l aa t
allow	ah l aw #1
allowable	ah l aw ah b l
allowance	ah l aw ah n s
allowed	ah l aw d #1
allure	ah l uh r
almonds	aa m ah n d z
almost	aa l m ow s t
alone	ah l ow n
along	ah l aa ng
aloud	ah l aw d #2
already	aa l r eh d iy
also	aa l s ow
alternated	aa l t er n ey t ih d
alternative	aa l t er n ih t ih v
although	aa l dh ow
altogether	aa l t ih g eh dh er
aluminum	ah l uw m ih n ah m
alumni	ah l ah m n ay
always	aa l w ey z
am	ae m #1
amateur	ae m ah ch er
amaze	ah m ey z #1
amazed	ah m ey z d
ambassador	ae m b ae s ah d er #1
ambassador's	ae m b ae s ah d er z
amber	ae m b er
ambidextrous	ae m b ih d eh k s t r ih s
ambiguity	ae m b ah g y uw ih t iy
ambiguous	ae m b ih g y uw ah s
ambitions	ae m b ih sh ih n z
ambitious	ae m b ih sh ih s
ambled	ae m b l d
